iter	Passed	Remaining
1235	5089	3145
1236	5094	3142
1237	5099	3138
1238	5104	3135
1239	5108	3131
1240	5112	3127
1241	5116	3122
1242	5120	3118
1243	5125	3114
1244	5129	3110
1245	5133	3106
1246	5138	3102
1247	5142	3098
1248	5147	3095
1249	5151	3091
1250	5156	3087
1251	5160	3083
1252	5164	3078
1253	5168	3074
1254	5173	3071
1255	5178	3067
1256	5182	3063
1257	5187	3059
1258	5191	3055
1259	5196	3052
1260	5201	3048
1261	5206	3044
1262	5211	3040
1263	5216	3037
1264	5220	3033
1265	5225	3029
1266	5230	3025
1267	5234	3021
1268	5239	3018
1269	5244	3014
1270	5249	3010
1271	5253	3006
1272	5258	3002
1273	5262	2998
1274	5267	2995
1275	5271	2990
1276	5276	2987
1277	5280	2983
1278	5284	2979
1279	5288	2974
1280	5292	2970
1281	5296	2966
1282	5300	2962
1283	5303	2957
1284	5307	2953
1285	5312	2949
1286	5317	2945
1287	5320	2941
1288	5324	2937
1289	5328	2932
1290	5332	2928
1291	5336	2924
1292	5339	2919
1293	5343	2915
1294	5347	2910
1295	5350	2906
1296	5354	2902
1297	5358	2897
1298	5361	2893
1299	5365	2889
1300	5369	2884
1301	5373	2880
1302	5377	2876
1303	5380	2872
1304	5384	2867
1305	5388	2863
1306	5392	2859
1307	5396	2854
1308	5400	2850
1309	5404	2846
1310	5407	2842
1311	5412	2838
1312	5416	2834
1313	5420	2829
1314	5424	2825
1315	5428	2821
1316	5432	2817
1317	5437	2813
1318	5441	2809
1319	5446	2805
1320	5450	2801
1321	5455	2797
1322	5459	2793
1323	5464	2790
1324	5469	2786
1325	5474	2782
1326	5478	2778
1327	5483	2774
1328	5487	2770
1329	5492	2766
1330	5497	2763
1331	5501	2759
1332	5506	2755
1333	5511	2751
1334	5515	2747
1335	5519	2743
1336	5524	2739
1337	5527	2734
1338	5532	2731
1339	5536	2726
1340	5540	2722
1341	5545	2719
1342	5550	2715
1343	5555	2711
1344	5558	2707
1345	5562	2702
1346	5566	2698
1347	5570	2694
1348	5574	2690
1349	5578	2685
1350	5582	2681
1351	5585	2677
1352	5589	2672
1353	5593	2668
1354	5598	2664
1355	5603	2661
1356	5606	2656
1357	5610	2652
1358	5614	2648
1359	5619	2644
1360	5623	2640
1361	5626	2635
1362	5630	2631
1363	5634	2627
1364	5637	2622
1365	5641	2618
1366	5645	2613
1367	5648	2609
1368	5652	2605
1369	5656	2601
1370	5660	2597
1371	5665	2593
1372	5669	2588
1373	5674	2585
1374	5677	2580
1375	5682	2577
1376	5687	2573
1377	5691	2568
1378	5694	2564
1379	5698	2560
1380	5701	2555
1381	5705	2551
1382	5709	2547
1383	5713	2542
1384	5716	2538
1385	5720	2534
1386	5723	2529
1387	5727	2525
1388	5731	2521
1389	5735	2517
1390	5739	2512
1391	5743	2508
1392	5747	2504
1393	5751	2500
1394	5755	2496
1395	5759	2491
1396	5762	2487
1397	5767	2483
1398	5771	2479
1399	5776	2475
1400	5780	2471
1401	5784	2467
1402	5788	2462
1403	5792	2458
1404	5796	2454
1405	5800	2450
1406	5804	2446
1407	5808	2442
1408	5812	2437
1409	5815	2433
1410	5819	2429
1411	5822	2424
1412	5826	2420
1413	5830	2416
1414	5834	2412
1415	5838	2408
1416	5842	2403
1417	5846	2399
1418	5850	2395
1419	5855	2391
1420	5859	2387
1421	5863	2383
1422	5867	2379
1423	5871	2374
1424	5874	2370
1425	5878	2366
1426	5881	2361
1427	5885	2357
1428	5889	2353
1429	5892	2348
1430	5896	2344
1431	5900	2340
1432	5904	2336
1433	5908	2331
1434	5911	2327
1435	5916	2323
1436	5920	2319
1437	5925	2315
1438	5930	2311
1439	5934	2307
1440	5938	2303
1441	5942	2299
1442	5947	2295
1443	5952	2291
1444	5956	2287
1445	5959	2283
1446	5963	2279
1447	5967	2274
1448	5971	2270
1449	5975	2266
1450	5978	2262
1451	5982	2257
1452	5987	2253
1453	5990	2249
1454	5994	2245
1455	5997	2240
1456	6001	2236
1457	6005	2232
1458	6009	2228
1459	6012	2223
1460	6016	2219
1461	6020	2215
1462	6023	2211
1463	6027	2206
1464	6033	2203
1465	6038	2199
1466	6042	2195
1467	6048	2191
1468	6052	2187
1469	6056	2183
1470	6060	2179
1471	6064	2175
1472	6068	2171
1473	6072	2166
1474	6077	2163
1475	6081	2159
1476	6086	2155
1477	6090	2151
1478	6094	2147
1479	6099	2142
1480	6103	2139
1481	6108	2135
1482	6112	2130
1483	6116	2126
1484	6120	2122
1485	6123	2118
1486	6127	2114
1487	6132	2109
1488	6136	2105
1489	6140	2101
1490	6144	2097
1491	6148	2093
1492	6152	2089
1493	6156	2085
1494	6160	2080
1495	6164	2076
1496	6168	2072
1497	6172	2068
1498	6176	2064
1499	6180	2060
1500	6184	2055
1501	6188	2051
1502	6192	2047
1503	6196	2043
1504	6200	2039
1505	6204	2035
1506	6208	2030
1507	6212	2026
1508	6216	2022
1509	6220	2018
1510	6224	2014
1511	6227	2009
1512	6231	2005
1513	6235	2001
1514	6240	1997
1515	6244	1993
1516	6248	1989
1517	6251	1985
1518	6255	1980
1519	6259	1976
1520	6262	1972
1521	6266	1968
1522	6271	1964
1523	6275	1959
1524	6279	1955
1525	6283	1951
1526	6287	1947
1527	6290	1943
1528	6295	1939
1529	6300	1935
1530	6304	1931
1531	6308	1927
1532	6311	1922
1533	6315	1918
1534	6319	1914
1535	6323	1910
1536	6327	1906
1537	6332	1902
1538	6336	1897
1539	6340	1893
1540	6344	1889
1541	6348	1885
1542	6352	1881
1543	6358	1877
1544	6361	1873
